Running pytorch 2.2.0+cu121
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.1
wandb: Run data is saved locally in /workspace/arena/wandb/run-20240918_091656-k1wr447g
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peach-dust-59
wandb: ⭐️ View project at https://wandb.ai/alexandretl/arena
wandb: 🚀 View run at https://wandb.ai/alexandretl/arena/runs/k1wr447g
DataLoader: total number of tokens: 10,255,324,043 across 103 files
DataLoader: total number of tokens: 100,000,000 across 1 files
Model initialized. Number of parameters : 123532032.
compiling the model...
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:140: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
val loss 10.990180015563965
step  110/8200 | train loss 5.984730 | lr 9.90e-04 | (3960.92 ms | 4136 tok/s)
step  111/8200 | train loss 5.887968 | lr 9.99e-04 | (3960.87 ms | 4136 tok/s)
step  112/8200 | train loss 5.893715 | lr 1.01e-03 | (3959.73 ms | 4138 tok/s)
step  113/8200 | train loss 5.897353 | lr 1.02e-03 | (3961.39 ms | 4136 tok/s)
step  114/8200 | train loss 5.852993 | lr 1.03e-03 | (3959.54 ms | 4138 tok/s)
step  115/8200 | train loss 5.866607 | lr 1.03e-03 | (3959.48 ms | 4138 tok/s)
step  116/8200 | train loss 5.841977 | lr 1.04e-03 | (3961.12 ms | 4136 tok/s)
step  117/8200 | train loss 5.815946 | lr 1.05e-03 | (3960.74 ms | 4137 tok/s)
step  118/8200 | train loss 5.760442 | lr 1.06e-03 | (3959.58 ms | 4138 tok/s)
step  119/8200 | train loss 5.823887 | lr 1.07e-03 | (3960.34 ms | 4137 tok/s)
step  120/8200 | train loss 5.795178 | lr 1.08e-03 | (3962.38 ms | 4135 tok/s)
step  121/8200 | train loss 5.828041 | lr 1.09e-03 | (3963.03 ms | 4134 tok/s)
step  122/8200 | train loss 5.728355 | lr 1.10e-03 | (3962.83 ms | 4134 tok/s)
step  123/8200 | train loss 5.874601 | lr 1.11e-03 | (3963.14 ms | 4134 tok/s)
step  124/8200 | train loss 5.761219 | lr 1.12e-03 | (3962.92 ms | 4134 tok/s)
step  125/8200 | train loss 5.767693 | lr 1.13e-03 | (3960.70 ms | 4137 tok/s)
step  126/8200 | train loss 5.769519 | lr 1.13e-03 | (3960.12 ms | 4137 tok/s)
step  127/8200 | train loss 5.908538 | lr 1.14e-03 | (3959.27 ms | 4138 tok/s)
step  128/8200 | train loss 5.811349 | lr 1.15e-03 | (3961.14 ms | 4136 tok/s)
val loss 5.901854515075684
step  129/8200 | train loss 5.836545 | lr 1.16e-03 | (6610.10 ms | 2479 tok/s)
step  130/8200 | train loss 5.773731 | lr 1.17e-03 | (3959.53 ms | 4138 tok/s)
step  131/8200 | train loss 5.796331 | lr 1.18e-03 | (3960.54 ms | 4137 tok/s)
step  132/8200 | train loss 5.751973 | lr 1.19e-03 | (3959.90 ms | 4137 tok/s)
step  133/8200 | train loss 5.679372 | lr 1.20e-03 | (3962.22 ms | 4135 tok/s)
step  134/8200 | train loss 5.719448 | lr 1.21e-03 | (3961.89 ms | 4135 tok/s)
step  135/8200 | train loss 5.696696 | lr 1.21e-03 | (3962.61 ms | 4135 tok/s)
step  136/8200 | train loss 5.626029 | lr 1.22e-03 | (3962.04 ms | 4135 tok/s)
step  137/8200 | train loss 5.660515 | lr 1.23e-03 | (3962.24 ms | 4135 tok/s)
step  138/8200 | train loss 5.659575 | lr 1.24e-03 | (3960.85 ms | 4136 tok/s)
step  139/8200 | train loss 5.637391 | lr 1.25e-03 | (3961.49 ms | 4136 tok/s)
step  140/8200 | train loss 5.684389 | lr 1.26e-03 | (3961.01 ms | 4136 tok/s)
step  141/8200 | train loss 5.588877 | lr 1.27e-03 | (3961.35 ms | 4136 tok/s)
step  142/8200 | train loss 5.692390 | lr 1.28e-03 | (3961.93 ms | 4135 tok/s)
step  143/8200 | train loss 5.645874 | lr 1.29e-03 | (3960.35 ms | 4137 tok/s)
step  144/8200 | train loss 5.658727 | lr 1.30e-03 | (3960.84 ms | 4136 tok/s)
step  145/8200 | train loss 5.618022 | lr 1.30e-03 | (3962.52 ms | 4135 tok/s)
step  146/8200 | train loss 5.557519 | lr 1.31e-03 | (3961.23 ms | 4136 tok/s)
step  147/8200 | train loss 5.568818 | lr 1.32e-03 | (3961.93 ms | 4135 tok/s)
step  148/8200 | train loss 5.640816 | lr 1.33e-03 | (3960.06 ms | 4137 tok/s)
step  149/8200 | train loss 5.624382 | lr 1.34e-03 | (3961.88 ms | 4135 tok/s)
step  150/8200 | train loss 5.580925 | lr 1.35e-03 | (3959.48 ms | 4138 tok/s)
step  151/8200 | train loss 5.566927 | lr 1.36e-03 | (3959.64 ms | 4138 tok/s)
step  152/8200 | train loss 5.496435 | lr 1.37e-03 | (3958.10 ms | 4139 tok/s)
step  153/8200 | train loss 5.522495 | lr 1.38e-03 | (3959.00 ms | 4138 tok/s)
step  154/8200 | train loss 5.476889 | lr 1.39e-03 | (3960.99 ms | 4136 tok/s)
step  155/8200 | train loss 5.566670 | lr 1.39e-03 | (3959.57 ms | 4138 tok/s)
step  156/8200 | train loss 5.573595 | lr 1.40e-03 | (3959.55 ms | 4138 tok/s)
step  157/8200 | train loss 5.594571 | lr 1.41e-03 | (3959.88 ms | 4138 tok/s)
step  158/8200 | train loss 5.508210 | lr 1.42e-03 | (3959.70 ms | 4138 tok/s)
step  159/8200 | train loss 5.506136 | lr 1.43e-03 | (3959.42 ms | 4138 tok/s)
step  160/8200 | train loss 5.603263 | lr 1.44e-03 | (3958.10 ms | 4139 tok/s)
step  161/8200 | train loss 5.581029 | lr 1.45e-03 | (3960.08 ms | 4137 tok/s)
step  162/8200 | train loss 5.633581 | lr 1.46e-03 | (3960.20 ms | 4137 tok/s)
step  163/8200 | train loss 5.529621 | lr 1.47e-03 | (3960.44 ms | 4137 tok/s)
step  164/8200 | train loss 5.586861 | lr 1.48e-03 | (3960.10 ms | 4137 tok/s)
step  165/8200 | train loss 5.595831 | lr 1.48e-03 | (3961.34 ms | 4136 tok/s)
step  166/8200 | train loss 5.574078 | lr 1.49e-03 | (3962.45 ms | 4135 tok/s)
step  167/8200 | train loss 5.562385 | lr 1.50e-03 | (3961.18 ms | 4136 tok/s)
step  168/8200 | train loss 5.527689 | lr 1.51e-03 | (3961.25 ms | 4136 tok/s)
step  169/8200 | train loss 5.494956 | lr 1.52e-03 | (3961.75 ms | 4136 tok/s)
step  170/8200 | train loss 5.468202 | lr 1.53e-03 | (3961.46 ms | 4136 tok/s)
step  171/8200 | train loss 5.417877 | lr 1.54e-03 | (3961.75 ms | 4136 tok/s)
step  172/8200 | train loss 5.522344 | lr 1.55e-03 | (3959.96 ms | 4137 tok/s)
step  173/8200 | train loss 5.440097 | lr 1.56e-03 | (3961.90 ms | 4135 tok/s)
step  174/8200 | train loss 5.523182 | lr 1.57e-03 | (3962.02 ms | 4135 tok/s)
step  175/8200 | train loss 5.496663 | lr 1.58e-03 | (3962.09 ms | 4135 tok/s)
step  176/8200 | train loss 5.439034 | lr 1.58e-03 | (3962.21 ms | 4135 tok/s)
step  177/8200 | train loss 5.396831 | lr 1.59e-03 | (3961.76 ms | 4136 tok/s)
step  178/8200 | train loss 5.418971 | lr 1.60e-03 | (3961.80 ms | 4135 tok/s)
step  179/8200 | train loss 5.436357 | lr 1.61e-03 | (3961.32 ms | 4136 tok/s)
step  180/8200 | train loss 5.359516 | lr 1.62e-03 | (3963.43 ms | 4134 tok/s)
step  181/8200 | train loss 5.341097 | lr 1.63e-03 | (3962.21 ms | 4135 tok/s)
step  182/8200 | train loss 5.393418 | lr 1.64e-03 | (3961.63 ms | 4136 tok/s)
step  183/8200 | train loss 5.325029 | lr 1.65e-03 | (3961.22 ms | 4136 tok/s)
step  184/8200 | train loss 5.460545 | lr 1.66e-03 | (3960.57 ms | 4137 tok/s)
step  185/8200 | train loss 5.373787 | lr 1.67e-03 | (3960.64 ms | 4137 tok/s)
step  186/8200 | train loss 5.368294 | lr 1.67e-03 | (3962.16 ms | 4135 tok/s)
step  187/8200 | train loss 5.445076 | lr 1.68e-03 | (3959.64 ms | 4138 tok/s)
step  188/8200 | train loss 5.434572 | lr 1.69e-03 | (3960.36 ms | 4137 tok/s)
step  189/8200 | train loss 5.269470 | lr 1.70e-03 | (3962.22 ms | 4135 tok/s)
step  190/8200 | train loss 5.371548 | lr 1.71e-03 | (3961.04 ms | 4136 tok/s)
step  191/8200 | train loss 5.405447 | lr 1.72e-03 | (4211.57 ms | 3890 tok/s)
step  192/8200 | train loss 5.298186 | lr 1.73e-03 | (3960.40 ms | 4137 tok/s)
val loss 5.4268670082092285
step  193/8200 | train loss 5.272653 | lr 1.74e-03 | (6624.60 ms | 2473 tok/s)
step  194/8200 | train loss 5.366813 | lr 1.75e-03 | (3961.48 ms | 4136 tok/s)
step  195/8200 | train loss 5.373786 | lr 1.75e-03 | (3959.89 ms | 4137 tok/s)
step  196/8200 | train loss 5.343596 | lr 1.76e-03 | (3960.92 ms | 4136 tok/s)
step  197/8200 | train loss 5.324499 | lr 1.77e-03 | (3961.69 ms | 4136 tok/s)
step  198/8200 | train loss 5.297681 | lr 1.78e-03 | (3961.46 ms | 4136 tok/s)
step  199/8200 | train loss 5.260004 | lr 1.79e-03 | (3961.14 ms | 4136 tok/s)
step  200/8200 | train loss 5.304668 | lr 1.80e-03 | (3961.05 ms | 4136 tok/s)
step  201/8200 | train loss 5.406621 | lr 1.80e-03 | (3961.65 ms | 4136 tok/s)
step  202/8200 | train loss 5.282875 | lr 1.80e-03 | (3960.47 ms | 4137 tok/s)
step  203/8200 | train loss 5.295419 | lr 1.80e-03 | (3960.10 ms | 4137 tok/s)
step  204/8200 | train loss 5.276023 | lr 1.80e-03 | (3960.03 ms | 4137 tok/s)
step  205/8200 | train loss 5.275083 | lr 1.80e-03 | (3960.55 ms | 4137 tok/s)
step  206/8200 | train loss 5.159939 | lr 1.80e-03 | (3960.47 ms | 4137 tok/s)
step  207/8200 | train loss 5.258276 | lr 1.80e-03 | (3961.59 ms | 4136 tok/s)
step  208/8200 | train loss 5.282138 | lr 1.80e-03 | (3961.36 ms | 4136 tok/s)
step  209/8200 | train loss 5.194388 | lr 1.80e-03 | (3962.10 ms | 4135 tok/s)
step  210/8200 | train loss 5.216398 | lr 1.80e-03 | (3961.75 ms | 4136 tok/s)
step  211/8200 | train loss 5.214328 | lr 1.80e-03 | (3960.71 ms | 4137 tok/s)
step  212/8200 | train loss 5.246783 | lr 1.80e-03 | (3962.63 ms | 4135 tok/s)
step  213/8200 | train loss 5.260002 | lr 1.80e-03 | (3960.89 ms | 4136 tok/s)
step  214/8200 | train loss 5.271029 | lr 1.80e-03 | (3964.71 ms | 4132 tok/s)
step  215/8200 | train loss 5.272438 | lr 1.80e-03 | (3963.22 ms | 4134 tok/s)
step  216/8200 | train loss 5.240364 | lr 1.80e-03 | (3964.43 ms | 4133 tok/s)
step  217/8200 | train loss 5.192266 | lr 1.80e-03 | (3962.96 ms | 4134 tok/s)
step  218/8200 | train loss 5.218453 | lr 1.80e-03 | (3960.29 ms | 4137 tok/s)
step  219/8200 | train loss 5.166209 | lr 1.80e-03 | (3962.29 ms | 4135 tok/s)
step  220/8200 | train loss 5.143450 | lr 1.80e-03 | (3961.06 ms | 4136 tok/s)
step  221/8200 | train loss 5.156991 | lr 1.80e-03 | (3962.29 ms | 4135 tok/s)
step  222/8200 | train loss 5.125959 | lr 1.80e-03 | (3960.60 ms | 4137 tok/s)
step  223/8200 | train loss 5.160021 | lr 1.80e-03 | (3961.31 ms | 4136 tok/s)
step  224/8200 | train loss 5.185700 | lr 1.80e-03 | (3960.74 ms | 4137 tok/s)
step  225/8200 | train loss 5.182075 | lr 1.80e-03 | (3962.47 ms | 4135 tok/s)
step  226/8200 | train loss 5.113669 | lr 1.80e-03 | (3962.51 ms | 4135 tok/s)
step  227/8200 | train loss 5.128174 | lr 1.80e-03 | (3963.10 ms | 4134 tok/s)
step  228/8200 | train loss 5.182401 | lr 1.80e-03 | (3962.25 ms | 4135 tok/s)
step  229/8200 | train loss 5.148245 | lr 1.80e-03 | (3961.44 ms | 4136 tok/s)
step  230/8200 | train loss 5.195168 | lr 1.80e-03 | (3963.26 ms | 4134 tok/s)
step  231/8200 | train loss 5.071978 | lr 1.80e-03 | (3963.08 ms | 4134 tok/s)
step  232/8200 | train loss 5.152936 | lr 1.80e-03 | (3961.31 ms | 4136 tok/s)
step  233/8200 | train loss 5.101444 | lr 1.80e-03 | (3962.91 ms | 4134 tok/s)
step  234/8200 | train loss 5.082269 | lr 1.80e-03 | (3962.48 ms | 4135 tok/s)
step  235/8200 | train loss 5.110027 | lr 1.80e-03 | (3962.72 ms | 4135 tok/s)
step  236/8200 | train loss 5.131747 | lr 1.80e-03 | (3962.44 ms | 4135 tok/s)
step  237/8200 | train loss 5.096930 | lr 1.80e-03 | (3963.16 ms | 4134 tok/s)
step  238/8200 | train loss 5.177404 | lr 1.80e-03 | (3961.90 ms | 4135 tok/s)
step  239/8200 | train loss 5.109002 | lr 1.80e-03 | (3962.47 ms | 4135 tok/s)
step  240/8200 | train loss 5.035842 | lr 1.80e-03 | (3960.52 ms | 4137 tok/s)
step  241/8200 | train loss 5.130115 | lr 1.80e-03 | (3961.59 ms | 4136 tok/s)
step  242/8200 | train loss 5.198511 | lr 1.80e-03 | (3960.54 ms | 4137 tok/s)
step  243/8200 | train loss 5.128510 | lr 1.80e-03 | (3960.81 ms | 4137 tok/s)
step  244/8200 | train loss 5.045781 | lr 1.80e-03 | (3961.75 ms | 4136 tok/s)
step  245/8200 | train loss 5.055423 | lr 1.80e-03 | (3961.59 ms | 4136 tok/s)
step  246/8200 | train loss 5.024717 | lr 1.80e-03 | (3960.26 ms | 4137 tok/s)
step  247/8200 | train loss 5.009375 | lr 1.80e-03 | (3961.25 ms | 4136 tok/s)
step  248/8200 | train loss 5.034371 | lr 1.80e-03 | (3959.91 ms | 4137 tok/s)
step  249/8200 | train loss 4.986772 | lr 1.80e-03 | (3960.79 ms | 4137 tok/s)
step  250/8200 | train loss 5.042696 | lr 1.80e-03 | (3960.88 ms | 4136 tok/s)
step  251/8200 | train loss 5.007799 | lr 1.80e-03 | (3960.51 ms | 4137 tok/s)
step  252/8200 | train loss 5.052578 | lr 1.80e-03 | (3960.57 ms | 4137 tok/s)
step  253/8200 | train loss 5.007009 | lr 1.80e-03 | (3963.07 ms | 4134 tok/s)
step  254/8200 | train loss 5.006782 | lr 1.80e-03 | (3963.21 ms | 4134 tok/s)
step  255/8200 | train loss 4.977753 | lr 1.80e-03 | (3964.89 ms | 4132 tok/s)
step  256/8200 | train loss 5.014994 | lr 1.80e-03 | (3965.28 ms | 4132 tok/s)
val loss 5.074586391448975
step  257/8200 | train loss 4.996638 | lr 1.80e-03 | (6623.31 ms | 2474 tok/s)
step  258/8200 | train loss 5.050208 | lr 1.80e-03 | (3958.95 ms | 4138 tok/s)
step  259/8200 | train loss 4.964635 | lr 1.80e-03 | (3959.54 ms | 4138 tok/s)
step  260/8200 | train loss 4.974776 | lr 1.80e-03 | (3958.78 ms | 4139 tok/s)
step  261/8200 | train loss 4.961079 | lr 1.80e-03 | (3959.65 ms | 4138 tok/s)
