Running pytorch 2.2.0+cu121
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.1
wandb: Run data is saved locally in /workspace/arena/wandb/run-20240919_062250-mhxrp6xu
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run earthy-morning-89
wandb: ⭐️ View project at https://wandb.ai/alexandretl/arena
wandb: 🚀 View run at https://wandb.ai/alexandretl/arena/runs/mhxrp6xu
DataLoader: total number of tokens: 10,255,324,043 across 103 files
DataLoader: total number of tokens: 100,000,000 across 1 files
Model initialized. Number of parameters : 123532032.
GPT(
  (transformer): ModuleDict(
    (wte): Embedding(50257, 768)
    (h): ModuleList(
      (0-11): 12 x Block(
        (attn): CausalSelfAttention(
          (c_attn): Linear(in_features=768, out_features=2304, bias=False)
          (c_proj): Linear(in_features=768, out_features=768, bias=False)
          (rotary): Rotary()
        )
        (mlp): MLP(
          (fc_1): Linear(in_features=768, out_features=2048, bias=False)
          (fc_2): Linear(in_features=2048, out_features=768, bias=False)
          (fc_3): Linear(in_features=768, out_features=2048, bias=False)
        )
      )
    )
  )
  (lm_head): Linear(in_features=768, out_features=50257, bias=False)
)
compiling the model...
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:140: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
step   65/8200 | train loss 6.402650 | lr 5.85e-04 | (3951.02 ms | 4147 tok/s)
step   66/8200 | train loss 6.401435 | lr 5.94e-04 | (3951.97 ms | 4146 tok/s)
step   67/8200 | train loss 6.440264 | lr 6.03e-04 | (3950.55 ms | 4147 tok/s)
step   68/8200 | train loss 6.426347 | lr 6.12e-04 | (3949.99 ms | 4148 tok/s)
step   69/8200 | train loss 6.385115 | lr 6.21e-04 | (3951.41 ms | 4146 tok/s)
step   70/8200 | train loss 6.359812 | lr 6.30e-04 | (3950.42 ms | 4147 tok/s)
step   71/8200 | train loss 6.348624 | lr 6.39e-04 | (3950.73 ms | 4147 tok/s)
step   72/8200 | train loss 6.288136 | lr 6.48e-04 | (3950.63 ms | 4147 tok/s)
val loss 6.402597904205322
step   73/8200 | train loss 6.351186 | lr 6.57e-04 | (6599.06 ms | 2483 tok/s)
step   74/8200 | train loss 6.263130 | lr 6.66e-04 | (3950.65 ms | 4147 tok/s)
step   75/8200 | train loss 6.296916 | lr 6.75e-04 | (3951.12 ms | 4147 tok/s)
step   76/8200 | train loss 6.242394 | lr 6.84e-04 | (3949.94 ms | 4148 tok/s)
step   77/8200 | train loss 6.306089 | lr 6.93e-04 | (3949.73 ms | 4148 tok/s)
step   78/8200 | train loss 6.300650 | lr 7.02e-04 | (3953.05 ms | 4145 tok/s)
step   79/8200 | train loss 6.069676 | lr 7.11e-04 | (3951.84 ms | 4146 tok/s)
step   80/8200 | train loss 6.211055 | lr 7.20e-04 | (3952.50 ms | 4145 tok/s)
step   81/8200 | train loss 6.209688 | lr 7.29e-04 | (3950.78 ms | 4147 tok/s)
step   82/8200 | train loss 6.354774 | lr 7.38e-04 | (3950.07 ms | 4148 tok/s)
step   83/8200 | train loss 6.233735 | lr 7.47e-04 | (3949.86 ms | 4148 tok/s)
step   84/8200 | train loss 6.225552 | lr 7.56e-04 | (3952.49 ms | 4145 tok/s)
val loss 6.289085388183594
step   85/8200 | train loss 6.183957 | lr 7.65e-04 | (6598.94 ms | 2483 tok/s)
step   86/8200 | train loss 6.143940 | lr 7.74e-04 | (3950.97 ms | 4147 tok/s)
step   87/8200 | train loss 6.161877 | lr 7.83e-04 | (3951.37 ms | 4146 tok/s)
step   88/8200 | train loss 6.108969 | lr 7.92e-04 | (3952.35 ms | 4145 tok/s)
step   89/8200 | train loss 6.105942 | lr 8.01e-04 | (3950.55 ms | 4147 tok/s)
step   90/8200 | train loss 6.084913 | lr 8.10e-04 | (3948.59 ms | 4149 tok/s)
step   91/8200 | train loss 6.107896 | lr 8.19e-04 | (3949.46 ms | 4148 tok/s)
step   92/8200 | train loss 6.088040 | lr 8.28e-04 | (3949.58 ms | 4148 tok/s)
step   93/8200 | train loss 6.115238 | lr 8.37e-04 | (3949.87 ms | 4148 tok/s)
step   94/8200 | train loss 6.056397 | lr 8.46e-04 | (3950.53 ms | 4147 tok/s)
step   95/8200 | train loss 6.017475 | lr 8.55e-04 | (3955.02 ms | 4143 tok/s)
step   96/8200 | train loss 5.962238 | lr 8.64e-04 | (3954.71 ms | 4143 tok/s)
val loss 6.119893550872803
step   97/8200 | train loss 6.057282 | lr 8.73e-04 | (6645.50 ms | 2465 tok/s)
step   98/8200 | train loss 6.016186 | lr 8.82e-04 | (3951.09 ms | 4147 tok/s)
step   99/8200 | train loss 5.992313 | lr 8.91e-04 | (3951.18 ms | 4147 tok/s)
step  100/8200 | train loss 5.977546 | lr 9.00e-04 | (3950.65 ms | 4147 tok/s)
step  101/8200 | train loss 5.972737 | lr 9.09e-04 | (3950.83 ms | 4147 tok/s)
step  102/8200 | train loss 5.930708 | lr 9.18e-04 | (3950.98 ms | 4147 tok/s)
step  103/8200 | train loss 5.963056 | lr 9.27e-04 | (3949.75 ms | 4148 tok/s)
step  104/8200 | train loss 6.001851 | lr 9.36e-04 | (3951.38 ms | 4146 tok/s)
step  105/8200 | train loss 5.963377 | lr 9.45e-04 | (3954.59 ms | 4143 tok/s)
step  106/8200 | train loss 6.029955 | lr 9.54e-04 | (3953.70 ms | 4144 tok/s)
step  107/8200 | train loss 5.953515 | lr 9.63e-04 | (3952.96 ms | 4145 tok/s)
step  108/8200 | train loss 5.909652 | lr 9.72e-04 | (3954.04 ms | 4144 tok/s)
val loss 6.0041351318359375
step  109/8200 | train loss 5.923392 | lr 9.81e-04 | (6608.09 ms | 2479 tok/s)
step  110/8200 | train loss 5.973527 | lr 9.90e-04 | (3955.56 ms | 4142 tok/s)
step  111/8200 | train loss 5.880416 | lr 9.99e-04 | (3955.09 ms | 4143 tok/s)
step  112/8200 | train loss 5.897924 | lr 1.01e-03 | (3953.73 ms | 4144 tok/s)
step  113/8200 | train loss 5.913909 | lr 1.02e-03 | (3953.51 ms | 4144 tok/s)
step  114/8200 | train loss 5.890907 | lr 1.03e-03 | (3955.27 ms | 4142 tok/s)
step  115/8200 | train loss 5.892768 | lr 1.03e-03 | (3954.24 ms | 4143 tok/s)
step  116/8200 | train loss 5.869464 | lr 1.04e-03 | (3954.70 ms | 4143 tok/s)
step  117/8200 | train loss 5.831703 | lr 1.05e-03 | (3953.88 ms | 4144 tok/s)
step  118/8200 | train loss 5.785820 | lr 1.06e-03 | (3954.03 ms | 4144 tok/s)
step  119/8200 | train loss 5.832023 | lr 1.07e-03 | (3953.91 ms | 4144 tok/s)
step  120/8200 | train loss 5.760894 | lr 1.08e-03 | (3953.55 ms | 4144 tok/s)
val loss 5.871461868286133
step  121/8200 | train loss 5.796131 | lr 1.09e-03 | (6605.14 ms | 2480 tok/s)
step  122/8200 | train loss 5.703908 | lr 1.10e-03 | (3953.24 ms | 4144 tok/s)
step  123/8200 | train loss 5.825085 | lr 1.11e-03 | (3953.54 ms | 4144 tok/s)
step  124/8200 | train loss 5.711932 | lr 1.12e-03 | (3955.45 ms | 4142 tok/s)
step  125/8200 | train loss 5.732975 | lr 1.13e-03 | (3954.59 ms | 4143 tok/s)
step  126/8200 | train loss 5.716333 | lr 1.13e-03 | (3954.26 ms | 4143 tok/s)
step  127/8200 | train loss 5.834810 | lr 1.14e-03 | (3953.59 ms | 4144 tok/s)
step  128/8200 | train loss 5.760924 | lr 1.15e-03 | (3955.04 ms | 4143 tok/s)
step  129/8200 | train loss 5.773793 | lr 1.16e-03 | (3954.32 ms | 4143 tok/s)
step  130/8200 | train loss 5.791981 | lr 1.17e-03 | (3952.42 ms | 4145 tok/s)
step  131/8200 | train loss 5.808303 | lr 1.18e-03 | (3953.40 ms | 4144 tok/s)
step  132/8200 | train loss 5.758542 | lr 1.19e-03 | (3953.90 ms | 4144 tok/s)
val loss 5.817357540130615
step  133/8200 | train loss 5.682587 | lr 1.20e-03 | (6609.03 ms | 2479 tok/s)
step  134/8200 | train loss 5.740618 | lr 1.21e-03 | (3954.39 ms | 4143 tok/s)
step  135/8200 | train loss 5.715996 | lr 1.21e-03 | (3954.31 ms | 4143 tok/s)
step  136/8200 | train loss 5.661038 | lr 1.22e-03 | (3953.20 ms | 4144 tok/s)
step  137/8200 | train loss 5.708149 | lr 1.23e-03 | (3946.47 ms | 4152 tok/s)
step  138/8200 | train loss 5.678128 | lr 1.24e-03 | (3947.20 ms | 4151 tok/s)
step  139/8200 | train loss 5.630114 | lr 1.25e-03 | (3951.03 ms | 4147 tok/s)
step  140/8200 | train loss 5.665925 | lr 1.26e-03 | (3956.80 ms | 4141 tok/s)
step  141/8200 | train loss 5.587179 | lr 1.27e-03 | (3954.12 ms | 4144 tok/s)
step  142/8200 | train loss 5.679512 | lr 1.28e-03 | (3954.38 ms | 4143 tok/s)
step  143/8200 | train loss 5.640940 | lr 1.29e-03 | (3954.78 ms | 4143 tok/s)
step  144/8200 | train loss 5.640488 | lr 1.30e-03 | (3955.32 ms | 4142 tok/s)
val loss 5.688996315002441
step  145/8200 | train loss 5.608276 | lr 1.30e-03 | (6611.86 ms | 2478 tok/s)
step  146/8200 | train loss 5.551213 | lr 1.31e-03 | (3955.77 ms | 4142 tok/s)
step  147/8200 | train loss 5.602627 | lr 1.32e-03 | (3954.77 ms | 4143 tok/s)
step  148/8200 | train loss 5.659646 | lr 1.33e-03 | (3954.29 ms | 4143 tok/s)
step  149/8200 | train loss 5.655484 | lr 1.34e-03 | (3954.16 ms | 4143 tok/s)
step  150/8200 | train loss 5.593699 | lr 1.35e-03 | (3951.02 ms | 4147 tok/s)
step  151/8200 | train loss 5.587497 | lr 1.36e-03 | (3951.22 ms | 4147 tok/s)
step  152/8200 | train loss 5.522335 | lr 1.37e-03 | (3950.56 ms | 4147 tok/s)
step  153/8200 | train loss 5.569385 | lr 1.38e-03 | (3955.37 ms | 4142 tok/s)
step  154/8200 | train loss 5.531537 | lr 1.39e-03 | (3953.41 ms | 4144 tok/s)
step  155/8200 | train loss 5.645267 | lr 1.39e-03 | (3953.41 ms | 4144 tok/s)
step  156/8200 | train loss 5.644055 | lr 1.40e-03 | (3954.48 ms | 4143 tok/s)
val loss 5.688417911529541
step  157/8200 | train loss 5.652579 | lr 1.41e-03 | (6606.17 ms | 2480 tok/s)
step  158/8200 | train loss 5.549223 | lr 1.42e-03 | (3954.44 ms | 4143 tok/s)
step  159/8200 | train loss 5.550188 | lr 1.43e-03 | (3953.79 ms | 4144 tok/s)
